"Dia","m05","m10","m15","h01","h04","h24","h96","Estacao","estacao_id"
2009-02-17 12:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.6,Jacarepaguá/Tanque,14
2009-02-17 12:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.6,Jacarepaguá/Tanque,14
2009-02-17 12:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.6,Jacarepaguá/Tanque,14
2009-02-17 12:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.6,Jacarepaguá/Tanque,14
2009-02-17 11:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.6,Jacarepaguá/Tanque,14
2009-02-17 11:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.6,Jacarepaguá/Tanque,14
2009-02-17 11:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.6,Jacarepaguá/Tanque,14
2009-02-17 11:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.6,Jacarepaguá/Tanque,14
2009-02-17 10:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.6,Jacarepaguá/Tanque,14
2009-02-17 10:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.6,Jacarepaguá/Tanque,14
2009-02-17 10:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.6,Jacarepaguá/Tanque,14
2009-02-17 10:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.6,Jacarepaguá/Tanque,14
2009-02-17 09:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.6,Jacarepaguá/Tanque,14
2009-02-17 09:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.6,Jacarepaguá/Tanque,14
2009-02-17 09:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.6,Jacarepaguá/Tanque,14
2009-02-17 09:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.6,Jacarepaguá/Tanque,14
2009-02-17 08:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.6,Jacarepaguá/Tanque,14
2009-02-17 08:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.6,Jacarepaguá/Tanque,14
2009-02-17 08:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.6,Jacarepaguá/Tanque,14
2009-02-17 08:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.8,Jacarepaguá/Tanque,14
2009-02-17 07:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.8,Jacarepaguá/Tanque,14
2009-02-17 07:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.8,Jacarepaguá/Tanque,14
2009-02-17 07:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.8,Jacarepaguá/Tanque,14
2009-02-17 07:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.8,Jacarepaguá/Tanque,14
2009-02-17 06:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.8,Jacarepaguá/Tanque,14
2009-02-17 06:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,10.0,Jacarepaguá/Tanque,14
2009-02-17 06:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,10.0,Jacarepaguá/Tanque,14
2009-02-17 06:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,10.2,Jacarepaguá/Tanque,14
2009-02-17 05:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,10.4,Jacarepaguá/Tanque,14
2009-02-17 05:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,10.6,Jacarepaguá/Tanque,14
2009-02-17 05:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,11.0,Jacarepaguá/Tanque,14
2009-02-17 05:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,12.0,Jacarepaguá/Tanque,14
2009-02-17 04:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,13.8,Jacarepaguá/Tanque,14
2009-02-17 04:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,14.2,Jacarepaguá/Tanque,14
2009-02-17 04:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,14.4,Jacarepaguá/Tanque,14
2009-02-17 04:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,14.8,Jacarepaguá/Tanque,14
2009-02-17 03:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,14.8,Jacarepaguá/Tanque,14
2009-02-17 03:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,15.0,Jacarepaguá/Tanque,14
2009-02-17 03:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,15.0,Jacarepaguá/Tanque,14
2009-02-17 03:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,15.2,Jacarepaguá/Tanque,14
2009-02-17 02:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,15.2,Jacarepaguá/Tanque,14
2009-02-17 02:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,15.2,Jacarepaguá/Tanque,14
2009-02-17 02:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,15.2,Jacarepaguá/Tanque,14
2009-02-17 02:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,15.2,Jacarepaguá/Tanque,14
2009-02-17 01:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,15.6,Jacarepaguá/Tanque,14
2009-02-17 01:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,16.8,Jacarepaguá/Tanque,14
2009-02-17 01:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,16.8,Jacarepaguá/Tanque,14
2009-02-17 01:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,17.0,Jacarepaguá/Tanque,14
2009-02-17 00:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,17.0,Jacarepaguá/Tanque,14
2009-02-17 00:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,17.0,Jacarepaguá/Tanque,14
2009-02-17 00:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,17.0,Jacarepaguá/Tanque,14
2009-02-17 00:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,17.0,Jacarepaguá/Tanque,14
2009-02-16 23:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,17.0,Jacarepaguá/Tanque,14
2009-02-16 23:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,17.0,Jacarepaguá/Tanque,14
2009-02-16 23:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,17.0,Jacarepaguá/Tanque,14
2009-02-16 23:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,17.0,Jacarepaguá/Tanque,14
2009-02-16 22:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,17.0,Jacarepaguá/Tanque,14
2009-02-16 22:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,17.0,Jacarepaguá/Tanque,14
2009-02-16 22:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,17.0,Jacarepaguá/Tanque,14
2009-02-16 22:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,17.0,Jacarepaguá/Tanque,14
2009-02-16 21:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,17.0,Jacarepaguá/Tanque,14
2009-02-16 21:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,17.0,Jacarepaguá/Tanque,14
2009-02-16 21:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,17.0,Jacarepaguá/Tanque,14
2009-02-16 21:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,17.0,Jacarepaguá/Tanque,14
2009-02-16 20:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,17.0,Jacarepaguá/Tanque,14
2009-02-16 20:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,17.0,Jacarepaguá/Tanque,14
2009-02-16 20:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,17.2,Jacarepaguá/Tanque,14
2009-02-16 20:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,17.6,Jacarepaguá/Tanque,14
2009-02-16 19:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,18.0,Jacarepaguá/Tanque,14
2009-02-16 19:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,18.6,Jacarepaguá/Tanque,14
2009-02-16 19:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,19.6,Jacarepaguá/Tanque,14
2009-02-16 19:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,21.6,Jacarepaguá/Tanque,14
2009-02-16 18:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,23.6,Jacarepaguá/Tanque,14
2009-02-16 18:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,26.0,Jacarepaguá/Tanque,14
2009-02-16 18:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,29.8,Jacarepaguá/Tanque,14
2009-02-16 18:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,35.8,Jacarepaguá/Tanque,14
2009-02-16 17:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,39.8,Jacarepaguá/Tanque,14
2009-02-16 17:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,44.0,Jacarepaguá/Tanque,14
2009-02-16 17:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,48.6,Jacarepaguá/Tanque,14
2009-02-16 17:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,52.2,Jacarepaguá/Tanque,14
2009-02-16 16:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,53.4,Jacarepaguá/Tanque,14
2009-02-16 16:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,54.2,Jacarepaguá/Tanque,14
2009-02-16 16:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,55.2,Jacarepaguá/Tanque,14
2009-02-16 16:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,56.6,Jacarepaguá/Tanque,14
2009-02-16 15:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,57.8,Jacarepaguá/Tanque,14
2009-02-16 15:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,58.4,Jacarepaguá/Tanque,14
2009-02-16 15:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,58.8,Jacarepaguá/Tanque,14
2009-02-16 15:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 14:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 14:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 14:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 14:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 13:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 13:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 13:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 13:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 12:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 12:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 12:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 12:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 11:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 11:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
